Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Region,State,City,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Unit_Price,Salesperson,Target_Sales,Customer_Rating,Return_Status
ORD-00002,2023-02-03,2023-02-07,Standard Class,CUST0002,Meena Nair,Home Office,South,Andhra Pradesh,Andhra Pradesh_City3,Appliances,Microwave,Microwave - Model 718,24279.36,14,0.05,2643.16,1734.24,Elan Nair,29221.77,3.9,No Return
ORD-00003,2022-05-03,2022-05-10,Second Class,CUST0161,Shreya Bose,Corporate,West,Maharashtra,Maharashtra_City4,Appliances,Microwave,Microwave - Model 384,34894.68,12,0.25,1854.65,2907.89,Harish Mehta,39006.75,2.5,No Return
ORD-00004,2022-08-13,2022-08-16,Second Class,CUST0175,Amit Kumar,Home Office,East,Odisha,Odisha_City1,Office Supplies,File Folder,File Folder - Model 334,63862.8,20,0.2,13729.89,3193.14,Arun Kumar,76796.48,2.6,No Return
ORD-00006,2024-09-09,2024-09-14,Standard Class,CUST0161,Meena Nair,Corporate,North,Delhi,Delhi_City5,Electronics,Mobile Phone,Mobile Phone - Model 868,42031.08,14,0.15,5876.49,3002.22,Elan Nair,49777.38,2.4,No Return
ORD-00007,2023-11-17,2023-11-22,Second Class,CUST0185,Ravi Chandran,Consumer,West,Gujarat,Gujarat_City3,Clothing,T-Shirt,T-Shirt - Model 880,64969.07,17,0.2,16828.98,3821.71,Chetan Patel,69496.73,4.1,No Return
ORD-00008,2021-02-24,2021-02-28,Standard Class,CUST0029,Kavita Menon,Consumer,Central,UP,UP_City2,Furniture,T-Shirt,T-Shirt - Model 775,12352.9,10,0.05,3677.86,1235.29,Harish Mehta,15730.48,1.7,Returned
ORD-00009,2022-04-03,2022-04-06,Standard Class,CUST0080,Sanjay Rao,Consumer,South,Telangana,Telangana_City5,Furniture,Dining Table,Dining Table - Model 325,26623.2,12,0.2,3949.73,2218.6,Unassigned,22243.59,3.5,No Return
ORD-00010,2024-04-26,2024-04-28,Same Day,CUST0132,Deepika Iyer,Consumer,North,Delhi,Delhi_City1,Office Supplies,Pen Set,Pen Set - Model 199,30252.96,9,0.05,6086.34,3361.44,Geetha Iyer,29561.64,2.6,No Return
ORD-00011,2024-03-09,2024-03-13,Second Class,CUST0087,Sunita Singh,Corporate,North,Delhi,Delhi_City4,Clothing,Kurta,Kurta - Model 927,7986.96,8,0.2,1179.41,998.37,Isha Gupta,6780.56,3.6,No Return
ORD-00012,2021-07-09,2021-07-16,Same Day,CUST0125,Divya Shah,Home Office,North,Punjab,Punjab_City4,Furniture,Sofa,Sofa - Model 813,30310.14,7,0.0,3012.56,4330.02,Isha Gupta,34278.82,2.9,No Return
ORD-00013,2024-09-28,2024-09-28,Second Class,CUST0189,Neha Tiwari,Corporate,East,Odisha,Odisha_City5,Electronics,Smartwatch,Smartwatch - Model 182,7504.96,2,0.0,488.14,3752.48,Chetan Patel,6261.09,1.3,No Return
ORD-00014,2023-05-07,2023-05-13,First Class,CUST0149,Shreya Bose,Consumer,West,Maharashtra,Maharashtra_City3,Appliances,Washing Machine,Washing Machine - Model 505,6231.88,2,0.15,1309.51,3115.94,Chetan Patel,7078.45,2.2,No Return
ORD-00015,2023-02-08,2023-02-11,First Class,CUST0145,Sunita Singh,Consumer,North,Delhi,Delhi_City4,Clothing,Saree,Saree - Model 953,8133.87,3,0.2,843.06,2711.29,Isha Gupta,9368.35,3.4,No Return
ORD-00016,2022-12-11,2022-12-13,First Class,CUST0068,Sunita Singh,SME,Central,UP,UP_City3,Electronics,Mobile Phone,Mobile Phone - Model 966,14899.84,4,0.05,1864.26,3724.96,Arun Kumar,12607.49,2.7,No Return
ORD-00017,2021-02-03,2021-02-09,Second Class,CUST0034,Ravi Chandran,Corporate,North,Delhi,Delhi_City3,Office Supplies,Scissors,Scissors - Model 696,22314.54,6,0.2,4671.78,3719.09,Isha Gupta,19503.95,1.5,No Return
ORD-00018,2024-10-24,2024-10-26,Second Class,CUST0175,Deepika Iyer,Consumer,East,West Bengal,West Bengal_City2,Office Supplies,Notebook,Notebook - Model 522,7202.84,4,0.2,1816.5,1800.71,Arun Kumar,6408.23,4.7,Returned
ORD-00019,2022-08-12,2022-08-15,Second Class,CUST0180,Sunita Singh,Consumer,South,Karnataka,Karnataka_City1,Furniture,Bed Frame,Bed Frame - Model 775,56773.99,13,0.3,7598.91,4367.23,Divya Reddy,56730.44,2.1,No Return
ORD-00020,2023-03-19,2023-03-22,Standard Class,CUST0174,Neha Tiwari,Corporate,East,Bihar,Bihar_City5,Appliances,Air Conditioner,Air Conditioner - Model 544,51691.42,11,0.0,16185.18,4699.22,Farhan Khan,60182.9,2.3,No Return
ORD-00021,2022-06-14,2022-06-15,First Class,CUST0012,Pooja Agarwal,Home Office,West,MP,MP_City1,Furniture,Bookshelf,Bookshelf - Model 837,2623.61,1,0.3,388.49,2623.61,Elan Nair,2764.13,3.7,No Return
ORD-00022,2023-07-18,2023-07-25,Standard Class,CUST0050,Pooja Agarwal,Home Office,West,Rajasthan,Rajasthan_City3,Appliances,Washing Machine,Washing Machine - Model 315,44235.36,13,0.05,9861.02,3402.72,Geetha Iyer,52767.45,3.4,No Return
ORD-00023,2021-05-17,2021-05-23,First Class,CUST0055,Kiran Mishra,Corporate,West,Goa,Goa_City2,Clothing,Kurta,Kurta - Model 788,63663.84,16,0.3,12067.6,3978.99,Elan Nair,58081.82,1.8,No Return
ORD-00024,2024-08-13,2024-08-15,Second Class,CUST0197,Amit Kumar,Corporate,North,Punjab,Punjab_City1,Clothing,Saree,Saree - Model 897,31522.2,15,0.25,5265.03,2101.48,Geetha Iyer,28666.94,4.2,Returned
ORD-00025,2023-08-20,2023-08-27,Same Day,CUST0032,Arjun Pillai,SME,West,Uttarakhand,Uttarakhand_City2,Furniture,Bed Frame,Bed Frame - Model 861,20085.05,5,0.25,3153.45,4017.01,Harish Mehta,20587.88,4.0,No Return
ORD-00026,2021-03-05,2021-03-07,Same Day,CUST0113,Amit Kumar,Consumer,Central,Uttarakhand,Uttarakhand_City2,Furniture,Bookshelf,Bookshelf - Model 165,12107.4,10,0.1,1589.96,1210.74,Geetha Iyer,12153.4,3.2,Returned
